0,1,2
10.31,104.37,-119.64
1.66,87.37,-99.79
3.4,87.33,-99.79
5.08,86.33,-98.72
6.58,83.49,-95.58
10.31,104.37,-119.64
-11.07,41.19,-42.71
-21.6,86.39,-89.17
-21.21,91.57,-94.12
-20.03,93.92,-96.17
-19.2,98.4,-100.39
-18.24,103.03,-104.78
-18.48,116.14,-117.76
-21.11,149.44,-151.13
-0.83,6.72,-6.78
-0.91,8.56,-8.62
-0.6,6.82,-6.86
-0.48,6.76,-6.78
-0.34,6.37,-6.39
-0.22,6.26,-6.28
-0.13,6.92,-6.93
-0.01,6.63,-6.64
0.11,6.63,-6.65
0.22,6.47,-6.48
0.33,6.46,-6.48
0.45,6.57,-6.6
0.54,6.27,-6.31
0.66,6.37,-6.42
