0,1,2
1.73,15.09,-16.73
2.1,15.66,-17.39
2.6,16.93,-18.85
3.45,19.89,-22.2
-6.64,18.21,-19.41
-6.84,19.81,-20.99
-9.22,28.31,-29.82
-9.41,30.72,-32.17
-8.23,28.62,-29.82
-7.95,29.58,-30.67
-7.79,31.17,-32.17
-6.72,29.01,-29.82
-7.86,36.84,-37.72
-3.54,18.16,-18.52
-7.28,41.13,-41.83
-17.16,107.83,-109.34
-15.94,112.81,-114.08
-12.56,101.65,-102.56
-13.61,128.53,-129.43
-8.72,98.8,-99.32
-9.6,135.81,-136.34
-8.01,150.71,-151.13
-5.44,152.38,-152.68
-2.75,150.9,-151.13
-0.12,152.47,-152.68
2.59,155.6,-155.83
4.22,123.88,-124.12
4.64,89.9,-90.14
10.62,153.67,-154.25
13.43,155.04,-155.83
15.97,153.21,-154.25
18.45,151.35,-152.68
21.52,154.12,-155.83
23.96,152.16,-154.25
26.08,148.65,-151.13
29.56,152.78,-155.83
32.22,152.25,-155.83
34.87,151.66,-155.83
36.75,147.98,-152.68
38.53,144.33,-149.59
34.05,119.18,-124.12
42.66,140.0,-146.55
47.46,146.55,-154.25
48.5,141.29,-149.59
49.41,136.17,-145.05
-9.75,25.93,-28.5
-28.4,79.8,-87.18
-9.49,28.25,-30.68
-8.81,27.88,-30.11
-5.51,18.59,-19.97
-8.42,30.38,-32.49
-7.29,28.29,-30.11
-6.48,27.13,-28.76
-6.27,28.52,-30.11
-6.04,30.0,-31.57
-5.05,27.67,-29.02
-4.73,28.8,-30.11
-2.61,17.94,-18.71
-2.1,16.48,-17.15
-3.55,32.52,-33.78
-4.84,53.22,-55.17
-5.27,72.31,-74.86
-4.33,78.98,-81.68
-3.81,103.49,-106.95
-1.24,65.7,-67.86
-0.13,152.38,-157.37
2.44,141.83,-146.49
3.96,112.68,-116.44
6.18,116.22,-120.18
11.28,158.33,-163.9
13.43,150.28,-155.77
15.8,146.99,-152.62
19.21,152.81,-158.98
21.52,149.39,-155.77
24.45,150.53,-157.37
26.88,148.57,-155.77
28.95,145.1,-152.62
33.89,155.27,-163.9
34.86,147.0,-155.77
32.8,128.06,-136.26
40.54,147.23,-157.37
42.31,143.56,-154.19
43.97,139.93,-151.07
47.93,143.5,-155.77
32.52,91.86,-100.3
53.07,141.79,-155.77
-9.25,23.82,-27.04
-18.95,51.56,-58.16
-10.54,30.4,-34.1
-10.28,31.49,-35.12
-9.89,32.29,-35.83
-9.19,32.12,-35.47
-8.34,31.32,-34.43
-7.68,31.15,-34.1
-10.64,46.85,-51.08
-5.87,28.24,-30.68
-9.39,49.78,-53.91
-7.68,45.32,-48.93
-4.25,28.22,-30.4
-3.72,28.29,-30.4
-2.97,26.35,-28.26
-3.63,38.6,-41.33
-2.08,27.66,-29.57
-1.28,22.55,-24.08
-1.67,43.94,-46.89
-0.83,42.58,-45.42
-0.04,45.89,-48.93
0.8,44.91,-47.9
1.82,49.98,-53.33
2.66,48.35,-51.63
4.0,54.41,-58.16
